MEJORES GK
------------------------------------------------
1. T_Courtois (che), 38,080 puntos
2. Hugo_Lloris (tot), 36,780 puntos
3. S_Handanovic (int), 24,430 puntos
4. Bernd_Leno (ble), 21,420 puntos
5. Rui_Patrício (rma), 20,480 puntos
6. Jan_Oblak (atm), 20,440 puntos
7. Manuel_Neuer (bmu), 19,900 puntos
8. Michel_Vorm (tot), 18,100 puntos
9. G_Rulli (opo), 17,920 puntos
10. W_Szczesny (rom), 16,880 puntos
11. Loris_Karius (liv), 16,000 puntos
12. Sergio_Rico (mun), 15,840 puntos
13. Claudio_Bravo (sev), 14,910 puntos
14. Sergio_Asenjo (vil), 14,480 puntos
15. G_Buffon (juv), 13,230 puntos
16. Luigi_Sepe (lyo), 11,760 puntos
17. Ralf_Fährmann (s04), 11,200 puntos
18. Roman_Bürki (bdo), 10,780 puntos
19. Timo_Horn (ars), 10,620 puntos
20. Alban_Lafont (ajx), 10,260 puntos
21. Carlos_Kameni (lib), 10,100 puntos
22. W_Benítez (nic), 9,720 puntos
23. E_Kawashima (lib), 8,580 puntos
24. Kevin_Trapp (psg), 8,400 puntos
25. D_Subasic (asm), 7,920 puntos
26. Petr_Cech (ars), 7,760 puntos
27. L_Fabianski (lib), 7,300 puntos
28. W_Hennessey (lib), 7,300 puntos
29. S_Gbohouo (lib), 6,960 puntos
30. F_Muslera (lib), 6,930 puntos
31. David_de_Gea (bar), 6,660 puntos
32. Pepe_Reina (nap), 6,030 puntos
33. Neto (juv), 6,000 puntos
34. C_Toselli (lib), 5,720 puntos
35. L_Azcona (lib), 5,170 puntos
36. Yann_Sommer (lib), 5,040 puntos
37. Kiko_Casilla (rma), 4,900 puntos
38. Mattia_Perin (mci), 4,640 puntos
39. Esteban_Dreer (lib), 4,500 puntos
40. M_Ángel_Moyá (atm), 4,300 puntos
41. Jeroen_Zoet (psv), 4,160 puntos
42. Emil_Audero (lib), 3,960 puntos
43. Stekelenburg (eve), 3,960 puntos
44. M_Dmitrovic (lib), 3,520 puntos
45. Yohann_Pelé (oma), 3,410 puntos
46. Denys_Boyko (lib), 3,400 puntos
47. Sergio_Romero (ars), 3,300 puntos
48. John_Ruddy (lib), 3,300 puntos
49. Adrian_Semper (lib), 2,640 puntos
50. Paulo_Lopes (lib), 2,520 puntos
51. A_Aréola (rma), 2,300 puntos
