MEJORES DM
------------------------------------------------
1. Lucas_Biglia (atm), 71,838 puntos
2. Lars_Bender (ble), 63,230 puntos
3. Sami_Khedira (juv), 62,217 puntos
4. N'Golo_Kanté (che), 60,330 puntos
5. J_Mascherano (nap), 57,411 puntos
6. Baumgartinger (ble), 55,693 puntos
7. A_Fernández (atm), 53,820 puntos
8. S_Busquets (bar), 53,595 puntos
9. Granit_Xhaka (bmu), 52,060 puntos
10. Eric_Dier (tot), 51,381 puntos
11. Casemiro (rma), 49,630 puntos
12. Bruno_Soriano (vil), 49,070 puntos
13. Nemanja_Matic (mun), 47,952 puntos
14. Gary_Medel (int), 47,910 puntos
15. Xabi_Alonso (opo), 47,652 puntos
16. Julian_Weigl (bdo), 47,080 puntos
17. F_Coquelin (ars), 46,880 puntos
18. F_Augusto (slb), 46,002 puntos
19. N_Chalobah (che), 44,568 puntos
20. M_Locatelli (mil), 44,088 puntos
21. J_Hendrix (psv), 44,055 puntos
22. N_Mendy (lei), 43,344 puntos
23. C_Tolisso (lyo), 42,999 puntos
24. Thiago_Motta (che), 42,610 puntos
25. S_N'Zonzi (sev), 42,280 puntos
26. Miguel_Veloso (opo), 42,273 puntos
27. G_Krychowiak (rma), 42,180 puntos
28. W_Vainqueur (oma), 42,119 puntos
29. C_Kramer (rom), 41,382 puntos
30. D_De_Rossi (psg), 40,920 puntos
31. Fernandinho (mci), 39,650 puntos
32. T_Fosu-Mensah (ajx), 39,360 puntos
33. Jorginho (nap), 39,010 puntos
34. Illarramendi (lei), 38,951 puntos
35. Lucas_Tousart (lyo), 37,716 puntos
36. T_Bakayoko (asm), 37,378 puntos
37. Thomas (vil), 37,279 puntos
38. Fabinho (asm), 37,190 puntos
39. Schneiderlin (eve), 36,993 puntos
40. L_Fejsa (slb), 36,780 puntos
41. M_Gonalons (lyo), 36,575 puntos
42. Lucas_Leiva (liv), 36,430 puntos
43. A_Diawara (ajx), 35,304 puntos
44. M_Carrick (che), 34,930 puntos
45. Rémi_Walter (psg), 34,672 puntos
46. A_Samaris (slb), 33,825 puntos
47. V_Iborra (sev), 33,253 puntos
48. G_Sertic (oma), 32,640 puntos
49. Rúben_Neves (lyo), 32,508 puntos
50. R_Hernández (vil), 32,016 puntos
51. Mario_Suárez (val), 31,856 puntos
52. Johannes_Geis (juv), 31,713 puntos
53. R_Montolivo (mil), 31,339 puntos
54. W_Carvalho (mun), 31,310 puntos
55. Tomás_Rincón (juv), 31,009 puntos
