A_Sánchez (ARS), 4 mom
Rafa_Silva (SLB), 3 mom
Z_Bakkali (VAL), 3 mom
Memphis_Depay (LYO), 3 mom
Dani_Parejo (VAL), 3 mom
R_Firmino (LIV), 3 mom
Mohamed_Salah (ROM), 3 mom
A_Iniesta (BAR), 3 mom
Neymar (BAR), 3 mom
E_Giaccherini (NAP), 2 mom
L_Bonucci (JUV), 2 mom
Pedro (CHE), 2 mom
Karim_Benzema (MUN), 2 mom
José_Ángel (VIL), 2 mom
Lichtsteiner (JUV), 2 mom
Oscar (JUV), 2 mom
R_Palacio (INT), 2 mom
J_Mascherano (NAP), 2 mom
Carlos_Vela (SEV), 2 mom
Isco (RMA), 2 mom
Paulo_Dybala (BAR), 2 mom
G_dos_Santos (VIL), 2 mom
Mario_Götze (BDO), 2 mom
Samir_Nasri (SEV), 2 mom
D_Sidibé (ASM), 2 mom
Y_Carrasco (ATM), 2 mom
Thomas_Lemar (ASM), 2 mom
A_Griezmann (ATM), 2 mom
David_Alaba (BMU), 2 mom
C_Salcedo (LIB), 1 mom
Jeremain_Lens (LIB), 1 mom
Robin_Quaison (LIB), 1 mom
Josh_Onomah (TOT), 1 mom
H_Ben_Arfa (PSG), 1 mom
Darijo_Srna (LIB), 1 mom
Loftus-Cheek (CHE), 1 mom
N_Bentaleb (S04), 1 mom
A_Souquet (NIC), 1 mom
C_Pulisic (BDO), 1 mom
Abou_Diaby (OMA), 1 mom
Hiroki_Sakai (OMA), 1 mom
A_Schöpf (S04), 1 mom
C_Musonda (CHE), 1 mom
H_Badstuber (S04), 1 mom
Óliver_Torres (BMU), 1 mom
Ramazan_Özcan (BLE), 1 mom
André_André (OPO), 1 mom
Otávio (OPO), 1 mom
L_Paredes (ROM), 1 mom
A_Milik (NAP), 1 mom
Danilo (RMA), 1 mom
A_Abdennour (VAL), 1 mom
Paco_Alcácer (OPO), 1 mom
Lucas_Pérez (LEI), 1 mom
John_Stones (MCI), 1 mom
Sergi_Darder (LYO), 1 mom
M_Fernández (OPO), 1 mom
Nacho_Monreal (ATM), 1 mom
Joël_Veltman (AJX), 1 mom
Lucas_Digne (BAR), 1 mom
D_Criscito (NAP), 1 mom
Dani_Ceballos (LEI), 1 mom
Jamie_Vardy (LEI), 1 mom
Baumgartinger (BLE), 1 mom
Dória (OMA), 1 mom
Henri_Bedimo (OMA), 1 mom
D_Sánchez (MUN), 1 mom
Leon_Goretzka (S04), 1 mom
Saúl_Ñíguez (ATM), 1 mom
Juanfran (ATM), 1 mom
Maciej_Rybus (LYO), 1 mom
Bruno_Peres (ROM), 1 mom
Jesse_Lingard (PSG), 1 mom
Juan_Mata (MUN), 1 mom
Y_Brahimi (OPO), 1 mom
Kenny_Tete (BAR), 1 mom
H_Mkhitaryan (MUN), 1 mom
F_Augusto (SLB), 1 mom
Luis_Suárez (JUV), 1 mom
J_Pastore (PSG), 1 mom
R_Mandragora (JUV), 1 mom
B_Mendy (ASM), 1 mom
