Lionel_Messi (BAR), 13 partidos jugados
W_Szczesny (ROM), 13 partidos jugados
Paulo_Dybala (BAR), 12 partidos jugados
N'Golo_Kanté (CHE), 12 partidos jugados
Arjen_Robben (BMU), 12 partidos jugados
Neymar (BAR), 12 partidos jugados
D_Subasic (ASM), 12 partidos jugados
Claudio_Bravo (MCI), 12 partidos jugados
Roman_Bürki (BDO), 12 partidos jugados
Hugo_Lloris (TOT), 12 partidos jugados
M_Verratti (BMU), 11 partidos jugados
Gareth_Bale (BMU), 11 partidos jugados
David_Alaba (BMU), 11 partidos jugados
Gerard_Piqué (BAR), 11 partidos jugados
Anthony_Lopes (LYO), 11 partidos jugados
G_Buffon (JUV), 11 partidos jugados
Loris_Karius (LIV), 11 partidos jugados
Alban_Lafont (AJX), 11 partidos jugados
Diego_Alves (VAL), 11 partidos jugados
S_Handanovic (INT), 11 partidos jugados
Ederson (SLB), 11 partidos jugados
R_Hilbert (BLE), 10 partidos jugados
S_Kiebling (BLE), 10 partidos jugados
Arda_Turan (JUV), 10 partidos jugados
Oscar (JUV), 10 partidos jugados
Sami_Khedira (JUV), 10 partidos jugados
Lucas_Leiva (LIV), 10 partidos jugados
Lucas_Ocampos (SLB), 10 partidos jugados
Edin_Dzeko (ROM), 10 partidos jugados
K_Coman (BMU), 10 partidos jugados
David_Silva (MCI), 10 partidos jugados
A_Iniesta (BAR), 10 partidos jugados
Falcao (MUN), 10 partidos jugados
Leroy_Sané (MCI), 10 partidos jugados
Douglas_Costa (BMU), 10 partidos jugados
Harry_Kane (TOT), 10 partidos jugados
Dries_Mertens (NAP), 10 partidos jugados
Paul_Pogba (BMU), 10 partidos jugados
Aaron_Ramsey (ARS), 10 partidos jugados
J_Henderson (LIV), 10 partidos jugados
A_Moreno (LIV), 10 partidos jugados
A_Griezmann (ATM), 10 partidos jugados
Dejan_Lovren (LIV), 10 partidos jugados
S_Mustafi (ARS), 10 partidos jugados
G_Donnarumma (MIL), 10 partidos jugados
Jan_Oblak (ATM), 10 partidos jugados
Manuel_Neuer (BMU), 10 partidos jugados
David_de_Gea (MUN), 10 partidos jugados
Y_Cardinale (NIC), 10 partidos jugados
Ralf_Fährmann (S04), 10 partidos jugados
Jeroen_Zoet (PSV), 10 partidos jugados
Sergio_Rico (SEV), 10 partidos jugados
A_Zivkovic (SLB), 9 partidos jugados
Juan_Mata (MUN), 9 partidos jugados
Leon_Bailey (BLE), 9 partidos jugados
Luke_Shaw (BMU), 9 partidos jugados
Thomás_Rincón (JUV), 9 partidos jugados
Luuk_de_Jong (PSV), 9 partidos jugados
Juan_Cuadrado (MUN), 9 partidos jugados
Dele_Alli (TOT), 9 partidos jugados
Mats_Hummels (BMU), 9 partidos jugados
R_Firmino (LIV), 9 partidos jugados
Danny_Rose (TOT), 9 partidos jugados
F_Thauvin (OMA), 9 partidos jugados
D_De_Rossi (ROM), 9 partidos jugados
P_Coutinho (LIV), 9 partidos jugados
M_Valbuena (LYO), 9 partidos jugados
