W_Szczesny (ROM), 1236 minutos
Hugo_Lloris (TOT), 1149 minutos
Roman_Bürki (BDO), 1146 minutos
Claudio_Bravo (MCI), 1139 minutos
D_Subasic (ASM), 1135 minutos
Ederson (SLB), 1109 minutos
S_Handanovic (INT), 1052 minutos
Diego_Alves (VAL), 1042 minutos
Alban_Lafont (AJX), 1039 minutos
Loris_Karius (LIV), 1036 minutos
G_Buffon (JUV), 1026 minutos
Anthony_Lopes (LYO), 994 minutos
Sergio_Rico (SEV), 965 minutos
Jeroen_Zoet (PSV), 953 minutos
Y_Cardinale (NIC), 946 minutos
Ralf_Fährmann (S04), 946 minutos
David_de_Gea (MUN), 942 minutos
Manuel_Neuer (BMU), 938 minutos
Jan_Oblak (ATM), 925 minutos
G_Donnarumma (MIL), 924 minutos
Lionel_Messi (BAR), 913 minutos
Neymar (BAR), 912 minutos
Joel_Robles (EVE), 887 minutos
Gerard_Piqué (BAR), 885 minutos
S_Mustafi (ARS), 861 minutos
Bernd_Leno (BLE), 855 minutos
David_Alaba (BMU), 842 minutos
Arjen_Robben (BMU), 837 minutos
Gareth_Bale (BMU), 835 minutos
M_Darmian (NAP), 822 minutos
Dejan_Lovren (LIV), 810 minutos
N'Golo_Kanté (CHE), 810 minutos
Petr_Cech (ARS), 804 minutos
A_Griezmann (ATM), 803 minutos
A_Moreno (LIV), 797 minutos
K_Schmeichel (LEI), 794 minutos
A_Sánchez (ARS), 793 minutos
Thiago_Silva (PSG), 793 minutos
Lars_Bender (BLE), 789 minutos
Kevin_Trapp (PSG), 789 minutos
J_Henderson (LIV), 788 minutos
M_Verratti (BMU), 783 minutos
L_Koscielny (ARS), 775 minutos
V_Kompany (MCI), 766 minutos
L_Fejsa (SLB), 765 minutos
P_Aubameyang (BDO), 765 minutos
M_Musacchio (BAR), 764 minutos
Sergio_Agüero (MCI), 763 minutos
Thomas_Lemar (ASM), 762 minutos
L_Piszczek (BDO), 761 minutos
Rui_Patrício (RMA), 757 minutos
Jordi_Alba (BAR), 756 minutos
Carlos_Bacca (MIL), 756 minutos
S_El_Shaarawy (ROM), 755 minutos
N_Clyne (LIV), 755 minutos
Adam_Lallana (LIV), 755 minutos
João_Moutinho (ASM), 754 minutos
R_Rodríguez (MIL), 754 minutos
A_Romagnoli (MIL), 753 minutos
M_De_Sciglio (MIL), 753 minutos
G_Bonaventura (MIL), 753 minutos
Andrea_Pirlo (MIL), 753 minutos
Lucas_Biglia (ATM), 752 minutos
Aaron_Ramsey (ARS), 749 minutos
A_Lacazette (LYO), 746 minutos
Thomas_Müller (ASM), 745 minutos
J_Murillo (INT), 743 minutos
Paul_Pogba (BMU), 742 minutos
Mattia_Perin (NAP), 742 minutos
A_Florenzi (ROM), 741 minutos
Pepe (RMA), 740 minutos
Kevin_Volland (BLE), 739 minutos
Arturo_Vidal (PSG), 738 minutos
M_Gonalons (LYO), 736 minutos
F_Orellana (VAL), 735 minutos
Alderweireld (TOT), 735 minutos
Dries_Mertens (NAP), 734 minutos
Fabinho (ASM), 734 minutos
Dimitri_Payet (OMA), 732 minutos
Jaume_Costa (VIL), 732 minutos
Philipp_Lahm (BMU), 731 minutos
Filipe_Luís (ATM), 730 minutos
Harry_Kane (TOT), 729 minutos
G_Deulofeu (MIL), 728 minutos
P_Zabaleta (MCI), 727 minutos
Douglas_Costa (BMU), 726 minutos
Y_Carrasco (ATM), 725 minutos
I_Güngogan (MCI), 724 minutos
Leroy_Sané (MCI), 723 minutos
M_Valbuena (LYO), 723 minutos
O_Dembélé (BDO), 723 minutos
G_Rulli (OPO), 722 minutos
Falcao (MUN), 721 minutos
R_Guerreiro (BDO), 721 minutos
Ó_de_Marcos (VIL), 720 minutos
Joel_Matip (LIV), 720 minutos
R_Nainggolan (ROM), 720 minutos
L_Baines (EVE), 718 minutos
A_Iniesta (BAR), 715 minutos
Mesut_Özil (ARS), 715 minutos
G_Wijnaldum (LIV), 715 minutos
A_Guardado (PSV), 714 minutos
A_Schürrle (BDO), 712 minutos
M_Schmelzer (BDO), 712 minutos
David_Silva (MCI), 708 minutos
Diego_Costa (CHE), 708 minutos
P_Coutinho (LIV), 706 minutos
D_De_Rossi (ROM), 705 minutos
Ivan_Rakitic (BAR), 704 minutos
F_Thauvin (OMA), 701 minutos
H_Calhanoglu (BLE), 701 minutos
Jardel (SLB), 700 minutos
Javi_Martínez (ARS), 699 minutos
Ross_Barkley (EVE), 697 minutos
D_Sidibé (ASM), 697 minutos
K_Coman (BMU), 695 minutos
Samir_Nasri (SEV), 694 minutos
Eric_Bailly (MUN), 694 minutos
Z_Ibrahimovic (PSG), 694 minutos
Diego_Godín (ATM), 692 minutos
A_Williams (EVE), 692 minutos
Romelu_Lukaku (EVE), 692 minutos
E_Mammana (LYO), 691 minutos
Jérémy_Morel (LYO), 691 minutos
C_Tolisso (LYO), 691 minutos
A_Fernández (ATM), 690 minutos
Danny_Rose (TOT), 690 minutos
Mohamed_Salah (ROM), 690 minutos
Schneiderlin (EVE), 689 minutos
J_Boateng (BMU), 687 minutos
Admir_Mehmedi (BLE), 686 minutos
S_Busquets (BAR), 684 minutos
Eden_Hazard (CHE), 684 minutos
T_Meunier (PSG), 684 minutos
D_Sturridge (LIV), 682 minutos
Dani_Parejo (VAL), 678 minutos
R_Firmino (LIV), 678 minutos
Mats_Hummels (BMU), 676 minutos
Lucas_Vazquez (OPO), 676 minutos
Héctor_Moreno (PSV), 675 minutos
Miguel_Veloso (OPO), 675 minutos
C_Ansaldi (INT), 675 minutos
Marco_Reus (BDO), 672 minutos
J_Rodríguez (PSG), 672 minutos
