Team                                   Stadium                    Manager
------------------------------------------------------------------------------------
AFC_Ajax_Amsterdam                     Amsterdam_ArenA            Arsène_Wenger
FC_Arsenal                             Emirates_Stadium           Julian_Nagelsmann
AS_Monaco                              Stade_Louis-II             Marcelo_Gallardo
Atlético_de_Madrid                     Vicente_Calderón           Diego_Cocca
FC_Barcelona                           Camp_Nou                   Xavi_Hernández
Borussia_Dortmund                      Signal_Iduna_Park          Peter_Bosz
Bayer_04_Leverkusen                    BayArena                   Heiko_Herrlich
FC_Bayern_de_Múnich                    Allianz_Arena              Oliver_Kahn
Chelsea_FC                             Stamford_Bridge            Ricardo_Caruso_Lombardi
FC_Everton                             Goodison_Park              James_Beattie
Inter_de_Milán                         Giuseppe_Meazza            Luciano_Spalletti
Juventus_de_Turín                      Juventus_Stadium           Carlo_Ancelotti
Leicester_City                         King_Power_Stadium         Gary_Lineker
FC_Liverpool                           Anfield                    Kenny_Dalglish
Olympique_Lyonnais                     Parc_Olympique_Lyonnais    Jürgen_Klopp
Manchester_City                        Etihad_Stadium             Frank_Lampard
AC_Milan                               San_Siro                   Hidetoshi_Nakata
Manchester_United                      Old_Trafford               "Sir"_Alex_Ferguson
SSC_Napoli                             San_Paolo                  Diego_Armando_Maradona
OGC_Nice                               Allianz_Riviera            Lucien_Favre
Olympique_de_Marseille                 Stade_Vélodrome            Enzo_Francescoli
FC_Porto                               Estadio_do_Dragão          Artur_Jorge
FC_Paris_Saint-Germain                 Parc_des_Princes           Claude_Makélélé
PSV_Eindhoven                          Philips_Stadion            Roberto_Di_Matteo
Real_Madrid_CF                         Santiago_Bernabéu          Zinedine_Zidane
AS_Roma                                Olímpico_de_Roma           Hugo_Sánchez
FC_Schalke_04                          Veltins-Arena              Pep_Guardiola
Sevilla_FC                             Ramón_Sánchez-Pizjuán      Carlos_Salvador_Bilardo
SL_Benfica                             Da_Luz                     Rui_Vitória
Tottenham_Hotspur                      White_Hart_Lane            Ricardo_Gareca
Valencia_CF                            Mestalla                   Pablo_Aimar
Villarreal_CF                          Estadio_de_la_Cerámica     Marcos_Senna
Atlético_Nacional                      Atanasio_Girardot          Víctor_Hugo_Aristizábal
Club_Alianza_Lima                      Alejandro_Villanueva       Ernesto_Arakaki
Club_América                           Azteca                     Luiz_Felipe_Scolari
Boca_Juniors                           La_Bombonera               Juan_Román_Riquelme
S.C._Corinthians                       Arena_Corinthians          SinDT
Cruzeiro_E._C.                         Mineirão                   SinDT
Flamengo                               Maracaná                   Zico
Grêmio                                 Arena_do_Grêmio            Dunga
Deportivo_Guadalajara                  Pedro_Escartín             SinDT
Independiente                          Libertadores_de_América    Frank_Darío_Kudelka
Independiente_Santa_Fe                 Nemesio_Camacho_El_Campín  SinDT
LA_Galaxy                              StubHub_Center             SinDT
Nacional                               Gran_Parque_Central        Álvaro_Recoba
New_York_City_FC                       Yankee_Stadium             Claudio_Reyna
Peñarol                                Campeón_del_Siglo          SinDT
UNAM_Pumas                             Olímpico_Universitario     SinDT
Racing_Club                            El_Cilindro                Chacho_Coudet
River_Plate                            El_Monumental              Javier_Pedro_Saviola
San_Lorenzo                            El_Nuevo_Gasómetro         SinDT
São_Paulo                              Morumbi                    Raí
Tigres_UANL                            Universitario              Ricardo_Ferretti
Toronto_FC                             BMO_Field                  Tata_Martino
Universidad_Católica                   San_Carlos_de_Apoquindo    Carlos_Caszely
Universidad_de_Chile                   Nacional                   Jorge_Socías
